Country of Origin, Country of Destination, Species, Treatment, Additional Declaration
Canada, , Ash, , Consignment complies with Annex II. 1. B Point 1(B) of Commission Implementing Decision (EU) 2015/893.
Canada, , Ash, , Consignment is in accordance with European Union requirements laid down in Commission Implementing Regulation (EU) 2020/918.
United States, , Oak, , Consignment complies with Annex VII point 90(d) of Commission Implementing Regulation (EU) 2019/2072.
United States, , Walnut (Black), , Consignment complies with Annex VII point 83 (a) of Commission Implementing Decision (EU) 2019/2072.
United States, , Ash, , Consignment complies with Annex II. 1. B Point 1(a) of Commission Implementing Decision (EU) 2015/893. 
United States, , Ash, , Consignment is in accordance with European Union requirements laid down in Commission Implementing Regulation (EU) 2020/1002. 
United States, , Pine, , Consignment complies with Annex VII point 76(d) of Commission Implementing Regulation 2019/2072.
United States, , Pine, , Consignment complies with Article 10 point 2 (c.) of Commission Implementing Regulation (EU) 2019/2032.
United States, , Pine, , The wood or its wrapping is marked KD and HT.
United States, , Pine, , An HT marked is located on the wood or wrapping.
Germany, , , , Test implementation for now.
Germany, , , , Test implementation for now.